Project Name,URL
360-innovations$vaadinsmartgwt,https://github.com/360-innovations/vaadinsmartgwt
3scale$3scale_ws_api_for_java,https://github.com/3scale/3scale_ws_api_for_java
3wks$thundr,https://github.com/3wks/thundr
99soft$rocoto,https://github.com/99soft/rocoto
aaberg$sql2o,https://github.com/aaberg/sql2o
aadnk$experiencemod,https://github.com/aadnk/experiencemod
aalmiray$json-lib,https://github.com/aalmiray/json-lib
abashev$vfs-s3,https://github.com/abashev/vfs-s3
adangel$pmd,https://github.com/adangel/pmd
addthis$stream-lib,https://github.com/addthis/stream-lib
adempiere$extension_libero_manufacturing,https://github.com/adempiere/extension_libero_manufacturing
adrian$upm-swing,https://github.com/adrian/upm-swing
adyliu$jafka,https://github.com/adyliu/jafka
aeshell$aesh,https://github.com/aeshell/aesh
afranken$jmeter-analysis-maven-plugin,https://github.com/afranken/jmeter-analysis-maven-plugin
agoncal$agoncal-application-petstore-ee6,https://github.com/agoncal/agoncal-application-petstore-ee6
agorava$agorava-core,https://github.com/agorava/agorava-core
ahn$vaadin-aceeditor,https://github.com/ahn/vaadin-aceeditor
alecgorge$jsonapi,https://github.com/alecgorge/jsonapi
algesten$jsondiff,https://github.com/algesten/jsondiff
alkacon$alkacon-oamp,https://github.com/alkacon/alkacon-oamp
alphazero$jredis,https://github.com/alphazero/jredis
analogweb$core,https://github.com/analogweb/core
andygibson$datafactory,https://github.com/andygibson/datafactory
apache$commons-compress,https://github.com/apache/commons-compress
apache$commons-validator,https://github.com/apache/commons-validator
apache$ftpserver,https://github.com/apache/ftpserver
apache$hama,https://github.com/apache/hama
apache$httpclient,https://github.com/apache/httpclient
apache$karaf-cellar,https://github.com/apache/karaf-cellar
apache$maven-archetype,https://github.com/apache/maven-archetype
apache$maven-plugins,https://github.com/apache/maven-plugins
apache$maven-surefire,https://github.com/apache/maven-surefire
apache$maven-wagon,https://github.com/apache/maven-wagon
apache$mina,https://github.com/apache/mina
apache$nutch,https://github.com/apache/nutch
apache$oozie,https://github.com/apache/oozie
appcelerator$titanium_studio_sdk,https://github.com/appcelerator/titanium_studio_sdk
arcbees$arcbees-website,https://github.com/arcbees/arcbees-website
arcbees$gwtp-idea-plugin,https://github.com/arcbees/gwtp-idea-plugin
arey$hibernate-hydrate,https://github.com/arey/hibernate-hydrate
arquillian$arquillian-extension-persistence,https://github.com/arquillian/arquillian-extension-persistence
arquillian$arquillian-graphene,https://github.com/arquillian/arquillian-graphene
